year,month,country,region,student_ai_usage_pct,teacher_ai_usage_pct,schools_ai_adoption_pct,avg_daily_ai_usage_min,top_ai_tool,internet_penetration_pct,education_index,government_ai_policy,urban_ai_usage_pct,rural_ai_usage_pct,ai_in_curriculum,gender_gap_ai_usage_pct
2015,4,Germany,Europe,7,7,5,59,Microsoft Copilot,93,0.94,None,9,0,Yes,9
2015,4,Brazil,South America,2,8,3,46,Google Gemini,75,0.7,Active,7,0,Yes,6
2015,4,Pakistan,Asia,3,4,7,40,ChatGPT,45,0.55,Active,7,0,No,1
2015,4,Nigeria,Africa,0,0,6,49,ChatGPT,42,0.52,None,4,0,No,5
2015,4,Canada,North America,8,5,3,22,Microsoft Copilot,94,0.92,None,10,0,No,3
2015,4,Australia,Oceania,8,7,5,45,Google Gemini,96,0.93,None,9,0,Yes,7
2015,5,United States,North America,9,2,3,12,Microsoft Copilot,90,0.9,Active,10,0,Yes,1
2015,5,United Kingdom,Europe,2,4,5,37,Microsoft Copilot,92,0.91,Active,4,0,No,1
2015,5,China,Asia,6,5,0,58,Microsoft Copilot,70,0.75,None,9,0,No,2
2015,5,India,Asia,3,7,3,53,Microsoft Copilot,50,0.64,Active,5,0,No,10
2015,5,Germany,Europe,1,2,4,60,Khanmigo,93,0.94,Draft,6,0,No,7
2015,5,Brazil,South America,6,2,0,51,Microsoft Copilot,75,0.7,Active,11,0,Yes,7
2015,5,Pakistan,Asia,7,8,6,32,ChatGPT,45,0.55,Active,10,0,No,3
2015,5,Nigeria,Africa,8,3,7,11,Microsoft Copilot,42,0.52,None,10,0,No,3
2015,5,Canada,North America,4,1,5,49,Microsoft Copilot,94,0.92,Active,7,0,No,8
2015,5,Australia,Oceania,6,8,2,42,Google Gemini,96,0.93,None,8,0,Yes,1
2015,6,United States,North America,9,0,1,10,Khanmigo,90,0.9,Draft,9,4,No,7
2015,6,United Kingdom,Europe,5,8,2,34,Khanmigo,92,0.91,Draft,9,0,No,2
2015,6,China,Asia,2,4,0,34,Google Gemini,70,0.75,None,5,0,Yes,6
2015,6,India,Asia,3,5,6,11,Microsoft Copilot,50,0.64,None,3,0,Yes,1
2015,6,Germany,Europe,2,3,1,27,ChatGPT,93,0.94,Draft,3,0,No,4
2015,6,Brazil,South America,5,4,1,11,Microsoft Copilot,75,0.7,Active,8,0,No,4
2015,6,Pakistan,Asia,1,7,6,29,Khanmigo,45,0.55,None,3,0,No,7
2015,6,Nigeria,Africa,1,6,2,50,Khanmigo,42,0.52,Active,1,0,Yes,3
2015,6,Canada,North America,7,5,2,48,Google Gemini,94,0.92,None,11,0,No,2
2015,6,Australia,Oceania,2,6,1,59,Microsoft Copilot,96,0.93,None,6,0,No,1
2015,7,United States,North America,2,0,2,37,Microsoft Copilot,90,0.9,Active,4,0,Yes,5
2015,7,United Kingdom,Europe,7,2,5,22,Khanmigo,92,0.91,None,9,0,Yes,5
2015,7,China,Asia,7,3,5,15,Microsoft Copilot,70,0.75,Active,10,0,Yes,4
2015,7,India,Asia,7,8,0,15,Khanmigo,50,0.64,Active,8,0,No,4
2015,7,Germany,Europe,6,8,1,52,Microsoft Copilot,93,0.94,Draft,10,0,Yes,9
2015,7,Brazil,South America,1,7,4,22,Google Gemini,75,0.7,Draft,1,0,Yes,10
2015,7,Pakistan,Asia,4,2,4,15,Google Gemini,45,0.55,Active,7,0,No,10
2015,7,Nigeria,Africa,4,0,0,48,Google Gemini,42,0.52,None,6,0,No,4
2015,7,Canada,North America,7,3,5,5,ChatGPT,94,0.92,None,11,0,Yes,2
2015,7,Australia,Oceania,2,3,4,60,Khanmigo,96,0.93,None,3,0,Yes,6
2015,8,United States,North America,0,2,0,21,Khanmigo,90,0.9,Draft,3,0,No,1
2015,8,United Kingdom,Europe,8,4,2,58,Google Gemini,92,0.91,Active,13,0,Yes,5
2015,8,China,Asia,3,6,1,37,Microsoft Copilot,70,0.75,Draft,7,0,Yes,2
2015,8,India,Asia,6,3,6,55,Google Gemini,50,0.64,Draft,9,0,No,8
2015,8,Germany,Europe,8,1,4,47,ChatGPT,93,0.94,Active,8,1,No,7
2015,8,Brazil,South America,3,4,5,27,Google Gemini,75,0.7,None,5,0,No,1
2015,8,Pakistan,Asia,5,0,0,16,Khanmigo,45,0.55,None,8,0,Yes,9
2015,8,Nigeria,Africa,8,3,2,50,ChatGPT,42,0.52,Draft,13,0,No,3
2015,8,Canada,North America,10,6,6,31,ChatGPT,94,0.92,Active,14,0,No,7
2015,8,Australia,Oceania,2,5,7,8,Microsoft Copilot,96,0.93,Active,2,0,Yes,3
2015,9,United States,North America,9,8,1,53,Khanmigo,90,0.9,Active,11,0,No,5
2015,9,United Kingdom,Europe,0,2,2,6,Khanmigo,92,0.91,Active,0,0,Yes,1
2015,9,China,Asia,10,6,6,52,Google Gemini,70,0.75,Active,12,0,No,10
2015,9,India,Asia,9,3,2,49,Microsoft Copilot,50,0.64,Draft,14,2,Yes,9
2015,9,Germany,Europe,7,3,5,27,Microsoft Copilot,93,0.94,Active,12,1,Yes,10
2015,9,Brazil,South America,2,1,5,24,ChatGPT,75,0.7,None,5,0,Yes,9
2015,9,Pakistan,Asia,3,2,0,45,ChatGPT,45,0.55,Active,8,0,No,5
2015,9,Nigeria,Africa,8,1,1,40,Google Gemini,42,0.52,None,11,3,Yes,4
2015,9,Canada,North America,3,5,1,8,Google Gemini,94,0.92,Draft,8,0,No,2
2015,9,Australia,Oceania,10,1,0,52,Khanmigo,96,0.93,Draft,15,2,No,4
2015,10,United States,North America,5,6,7,54,Microsoft Copilot,90,0.9,Active,10,0,No,4
2015,10,United Kingdom,Europe,4,5,1,19,Khanmigo,92,0.91,Active,4,0,Yes,8
2015,10,China,Asia,2,4,2,21,Google Gemini,70,0.75,None,5,0,No,4
2015,10,India,Asia,4,2,7,12,Google Gemini,50,0.64,Draft,7,0,No,8
2015,10,Germany,Europe,5,5,5,12,Google Gemini,93,0.94,Active,10,0,No,6
2015,10,Brazil,South America,5,6,4,10,ChatGPT,75,0.7,Active,8,0,Yes,6
2015,10,Pakistan,Asia,0,5,7,40,Microsoft Copilot,45,0.55,Draft,0,0,No,8
2015,10,Nigeria,Africa,9,5,4,51,Microsoft Copilot,42,0.52,Draft,10,4,Yes,5
2015,10,Canada,North America,9,3,7,18,ChatGPT,94,0.92,None,14,0,No,3
2015,10,Australia,Oceania,8,5,0,45,Khanmigo,96,0.93,None,9,0,No,4
2015,11,United States,North America,6,5,2,23,Microsoft Copilot,90,0.9,Draft,10,0,No,3
2015,11,United Kingdom,Europe,10,0,3,20,Khanmigo,92,0.91,Draft,15,0,Yes,2
2015,11,China,Asia,4,1,2,45,Microsoft Copilot,70,0.75,Draft,6,0,No,5
2015,11,India,Asia,6,3,0,16,Microsoft Copilot,50,0.64,Draft,8,0,Yes,6
2015,11,Germany,Europe,4,7,0,17,Google Gemini,93,0.94,None,5,0,Yes,9
2015,11,Brazil,South America,5,2,0,10,Google Gemini,75,0.7,Active,9,0,Yes,7
2015,11,Pakistan,Asia,6,2,5,27,Khanmigo,45,0.55,Active,10,0,No,1
2015,11,Nigeria,Africa,10,3,4,6,ChatGPT,42,0.52,Active,14,0,Yes,5
2015,11,Canada,North America,8,4,0,48,Google Gemini,94,0.92,Draft,13,0,No,9
2015,11,Australia,Oceania,9,4,1,41,ChatGPT,96,0.93,None,14,0,No,2
2015,12,United States,North America,5,1,4,49,Khanmigo,90,0.9,None,9,0,Yes,10
2015,12,United Kingdom,Europe,3,1,6,14,ChatGPT,92,0.91,Draft,4,0,Yes,3
2015,12,China,Asia,0,0,6,25,Google Gemini,70,0.75,None,2,0,Yes,4
2015,12,India,Asia,3,3,6,32,Google Gemini,50,0.64,None,6,0,No,6
2015,12,Germany,Europe,2,1,6,16,ChatGPT,93,0.94,Active,5,0,No,4
2015,12,Brazil,South America,5,6,7,24,Khanmigo,75,0.7,Active,10,0,No,7
2015,12,Pakistan,Asia,10,8,0,33,ChatGPT,45,0.55,None,14,0,Yes,10
2015,12,Nigeria,Africa,9,8,1,28,Google Gemini,42,0.52,None,10,0,No,9
2015,12,Canada,North America,9,7,5,55,Microsoft Copilot,94,0.92,Active,11,0,No,8
2015,12,Australia,Oceania,5,5,4,38,Google Gemini,96,0.93,Active,9,0,No,1
2016,1,United States,North America,15,9,8,57,Microsoft Copilot,90,0.9,Active,18,10,No,6
2016,1,United Kingdom,Europe,13,12,8,59,Microsoft Copilot,92,0.91,Active,18,6,Yes,1
2016,1,China,Asia,15,7,11,50,ChatGPT,70,0.75,Draft,16,4,No,8
2016,1,India,Asia,10,8,6,50,Google Gemini,50,0.64,Active,11,5,No,10
2016,1,Germany,Europe,14,11,8,53,ChatGPT,93,0.94,Draft,15,8,No,4
2016,1,Brazil,South America,13,6,10,25,ChatGPT,75,0.7,None,14,8,Yes,2
2016,1,Pakistan,Asia,14,8,5,56,Microsoft Copilot,45,0.55,Draft,16,0,No,1
2016,1,Nigeria,Africa,5,6,12,25,Google Gemini,42,0.52,Draft,6,0,Yes,2
2016,1,Canada,North America,6,10,5,34,ChatGPT,94,0.92,Active,7,1,Yes,8
2016,1,Australia,Oceania,11,7,10,34,Google Gemini,96,0.93,Active,16,0,Yes,5
2016,2,United States,North America,14,8,12,28,ChatGPT,90,0.9,None,18,4,Yes,9
2016,2,United Kingdom,Europe,12,13,10,56,Microsoft Copilot,92,0.91,Active,12,0,Yes,4
2016,2,China,Asia,15,8,6,53,Google Gemini,70,0.75,None,17,0,Yes,6
2016,2,India,Asia,11,13,9,10,ChatGPT,50,0.64,None,13,3,No,4
2016,2,Germany,Europe,15,11,9,31,ChatGPT,93,0.94,None,20,5,Yes,1
2016,2,Brazil,South America,15,12,6,14,Khanmigo,75,0.7,None,16,4,Yes,9
2016,2,Pakistan,Asia,14,8,8,26,Khanmigo,45,0.55,None,16,7,No,8
2016,2,Nigeria,Africa,13,8,6,25,Google Gemini,42,0.52,Active,13,4,Yes,6
2016,2,Canada,North America,9,8,5,38,Google Gemini,94,0.92,Active,13,1,Yes,8
2016,2,Australia,Oceania,11,8,9,57,Khanmigo,96,0.93,Draft,14,0,No,6
2016,3,United States,North America,5,13,12,38,ChatGPT,90,0.9,None,9,0,No,5
2016,3,United Kingdom,Europe,8,13,8,21,Google Gemini,92,0.91,None,9,0,Yes,7
2016,3,China,Asia,15,8,11,20,Google Gemini,70,0.75,Active,16,9,No,2
2016,3,India,Asia,11,6,5,53,Khanmigo,50,0.64,Draft,11,0,No,6
2016,3,Germany,Europe,14,13,11,43,Khanmigo,93,0.94,Active,14,5,Yes,5
2016,3,Brazil,South America,11,10,6,49,Microsoft Copilot,75,0.7,None,14,2,No,6
2016,3,Pakistan,Asia,6,5,9,40,Khanmigo,45,0.55,None,7,0,Yes,9
2016,3,Nigeria,Africa,7,8,9,54,Google Gemini,42,0.52,None,10,0,No,8
2016,3,Canada,North America,5,7,7,5,Microsoft Copilot,94,0.92,Active,10,0,Yes,5
2016,3,Australia,Oceania,14,7,5,39,Khanmigo,96,0.93,Draft,18,8,No,7
2016,4,United States,North America,12,10,5,15,Microsoft Copilot,90,0.9,None,17,7,Yes,7
2016,4,United Kingdom,Europe,12,9,9,29,Google Gemini,92,0.91,None,17,5,No,6
2016,4,China,Asia,7,12,9,32,Microsoft Copilot,70,0.75,Active,12,0,Yes,7
2016,4,India,Asia,15,5,6,12,ChatGPT,50,0.64,Draft,19,2,No,1
2016,4,Germany,Europe,11,10,10,14,ChatGPT,93,0.94,None,16,3,Yes,8
2016,4,Brazil,South America,11,11,8,55,Khanmigo,75,0.7,None,16,1,No,1
2016,4,Pakistan,Asia,14,7,11,34,Khanmigo,45,0.55,Active,17,9,No,5
2016,4,Nigeria,Africa,10,5,12,32,Khanmigo,42,0.52,Active,12,0,No,8
2016,4,Canada,North America,11,10,6,34,ChatGPT,94,0.92,Active,13,5,No,7
2016,4,Australia,Oceania,9,8,8,51,Microsoft Copilot,96,0.93,None,10,0,Yes,6
2016,5,United States,North America,8,11,11,21,ChatGPT,90,0.9,Active,13,0,No,4
2016,5,United Kingdom,Europe,7,12,6,45,ChatGPT,92,0.91,Active,7,2,Yes,6
2016,5,China,Asia,5,10,8,12,Khanmigo,70,0.75,Draft,9,0,Yes,9
2016,5,India,Asia,13,11,7,37,ChatGPT,50,0.64,Draft,18,6,No,10
2016,5,Germany,Europe,7,6,9,20,Microsoft Copilot,93,0.94,None,8,0,Yes,8
2016,5,Brazil,South America,9,8,9,7,ChatGPT,75,0.7,None,12,0,No,2
2016,5,Pakistan,Asia,14,13,8,41,ChatGPT,45,0.55,Active,19,2,Yes,1
2016,5,Nigeria,Africa,7,6,8,14,ChatGPT,42,0.52,Draft,11,2,Yes,9
2016,5,Canada,North America,15,10,5,34,Microsoft Copilot,94,0.92,Draft,15,0,No,9
2016,5,Australia,Oceania,11,10,8,48,ChatGPT,96,0.93,Active,16,1,No,10
2016,6,United States,North America,8,13,7,42,Khanmigo,90,0.9,Draft,10,0,No,4
2016,6,United Kingdom,Europe,8,6,9,30,Google Gemini,92,0.91,Draft,12,0,No,8
2016,6,China,Asia,13,6,7,43,Microsoft Copilot,70,0.75,Active,18,0,No,5
2016,6,India,Asia,13,6,10,17,Google Gemini,50,0.64,None,18,0,Yes,9
2016,6,Germany,Europe,13,9,7,29,ChatGPT,93,0.94,None,13,2,No,7
2016,6,Brazil,South America,9,7,10,49,Google Gemini,75,0.7,Active,10,0,No,1
2016,6,Pakistan,Asia,10,13,12,24,Microsoft Copilot,45,0.55,Active,11,2,Yes,3
2016,6,Nigeria,Africa,12,9,12,40,Google Gemini,42,0.52,None,13,2,No,1
2016,6,Canada,North America,15,9,11,49,Khanmigo,94,0.92,None,15,0,Yes,7
2016,6,Australia,Oceania,10,10,9,29,ChatGPT,96,0.93,None,14,1,No,9
2016,7,United States,North America,15,13,11,46,ChatGPT,90,0.9,Active,16,6,No,4
2016,7,United Kingdom,Europe,15,10,8,45,Microsoft Copilot,92,0.91,Active,19,0,No,9
2016,7,China,Asia,13,5,7,43,Google Gemini,70,0.75,Draft,15,6,No,5
2016,7,India,Asia,9,12,9,22,Khanmigo,50,0.64,None,11,0,Yes,4
2016,7,Germany,Europe,7,12,10,49,Microsoft Copilot,93,0.94,Active,12,0,Yes,1
2016,7,Brazil,South America,12,13,10,41,ChatGPT,75,0.7,Active,14,7,No,4
2016,7,Pakistan,Asia,15,11,5,27,Microsoft Copilot,45,0.55,Draft,20,4,Yes,9
2016,7,Nigeria,Africa,6,5,11,40,ChatGPT,42,0.52,None,8,0,No,5
2016,7,Canada,North America,15,12,8,31,ChatGPT,94,0.92,Active,18,1,No,9
2016,7,Australia,Oceania,15,6,12,16,Khanmigo,96,0.93,Active,20,5,Yes,5
2016,8,United States,North America,11,7,10,7,Google Gemini,90,0.9,None,16,5,Yes,5
2016,8,United Kingdom,Europe,12,12,12,59,ChatGPT,92,0.91,Active,14,0,No,1
2016,8,China,Asia,14,13,5,40,Microsoft Copilot,70,0.75,None,18,4,Yes,7
2016,8,India,Asia,6,5,8,51,Khanmigo,50,0.64,Active,6,1,Yes,8
2016,8,Germany,Europe,12,7,11,20,Khanmigo,93,0.94,Active,14,7,Yes,6
2016,8,Brazil,South America,15,9,6,31,ChatGPT,75,0.7,Draft,18,0,Yes,2
2016,8,Pakistan,Asia,7,12,6,24,Google Gemini,45,0.55,Draft,9,0,No,9
2016,8,Nigeria,Africa,5,12,9,21,ChatGPT,42,0.52,Active,6,0,Yes,1
2016,8,Canada,North America,10,11,12,30,Microsoft Copilot,94,0.92,Draft,10,4,Yes,9
2016,8,Australia,Oceania,6,6,7,51,Khanmigo,96,0.93,None,8,1,Yes,2
2016,9,United States,North America,9,5,6,50,Google Gemini,90,0.9,Draft,11,1,No,6
2016,9,United Kingdom,Europe,14,7,11,12,ChatGPT,92,0.91,Active,16,4,No,5
2016,9,China,Asia,5,9,11,50,Google Gemini,70,0.75,None,9,0,Yes,4
2016,9,India,Asia,15,10,11,49,Google Gemini,50,0.64,Draft,17,3,No,3
2016,9,Germany,Europe,9,7,10,52,ChatGPT,93,0.94,Active,14,4,Yes,9
2016,9,Brazil,South America,5,10,6,26,Khanmigo,75,0.7,Draft,5,0,Yes,7
2016,9,Pakistan,Asia,9,11,12,18,Microsoft Copilot,45,0.55,Draft,11,1,Yes,8
2016,9,Nigeria,Africa,8,7,9,27,Microsoft Copilot,42,0.52,None,12,0,No,10
2016,9,Canada,North America,10,12,9,7,ChatGPT,94,0.92,Active,12,5,No,5
2016,9,Australia,Oceania,11,9,11,35,ChatGPT,96,0.93,Draft,11,4,Yes,5
2016,10,United States,North America,8,12,11,17,Khanmigo,90,0.9,Draft,12,2,Yes,7
2016,10,United Kingdom,Europe,7,7,10,27,ChatGPT,92,0.91,Active,10,0,Yes,1
2016,10,China,Asia,13,10,5,43,ChatGPT,70,0.75,None,16,0,No,10
2016,10,India,Asia,7,12,6,29,Google Gemini,50,0.64,Draft,11,0,Yes,10
2016,10,Germany,Europe,12,10,7,51,Khanmigo,93,0.94,Active,15,0,Yes,5
2016,10,Brazil,South America,11,6,7,58,Google Gemini,75,0.7,Active,12,3,Yes,7
2016,10,Pakistan,Asia,14,10,6,57,ChatGPT,45,0.55,None,14,0,Yes,2
2016,10,Nigeria,Africa,13,8,9,59,Google Gemini,42,0.52,Active,16,1,Yes,7
2016,10,Canada,North America,13,8,12,44,Google Gemini,94,0.92,Active,16,1,Yes,6
2016,10,Australia,Oceania,13,12,5,26,Khanmigo,96,0.93,None,15,4,Yes,1
2016,11,United States,North America,5,11,6,34,Khanmigo,90,0.9,Draft,5,0,Yes,2
2016,11,United Kingdom,Europe,9,13,7,21,Microsoft Copilot,92,0.91,Active,9,0,Yes,1
2016,11,China,Asia,6,6,11,30,ChatGPT,70,0.75,Active,9,0,Yes,3
2016,11,India,Asia,8,5,11,41,ChatGPT,50,0.64,None,11,0,Yes,6
2016,11,Germany,Europe,14,11,12,23,Google Gemini,93,0.94,Active,17,3,No,1
2016,11,Brazil,South America,7,8,12,48,Khanmigo,75,0.7,Draft,12,0,Yes,2
2016,11,Pakistan,Asia,6,9,8,36,ChatGPT,45,0.55,Draft,10,0,No,7
2016,11,Nigeria,Africa,15,12,9,14,Google Gemini,42,0.52,Draft,20,10,No,2
2016,11,Canada,North America,7,6,9,5,Khanmigo,94,0.92,None,8,2,No,6
2016,11,Australia,Oceania,10,10,12,49,Google Gemini,96,0.93,None,14,0,No,1
2016,12,United States,North America,9,12,12,30,ChatGPT,90,0.9,Draft,13,0,No,5
2016,12,United Kingdom,Europe,5,5,6,13,Microsoft Copilot,92,0.91,None,10,0,No,5
2016,12,China,Asia,11,9,8,36,Khanmigo,70,0.75,Active,12,6,No,6
2016,12,India,Asia,7,10,12,44,Microsoft Copilot,50,0.64,Active,11,0,Yes,3
2016,12,Germany,Europe,7,12,8,57,ChatGPT,93,0.94,Draft,9,0,No,5
2016,12,Brazil,South America,5,12,9,53,ChatGPT,75,0.7,Active,10,0,Yes,1
2016,12,Pakistan,Asia,8,11,10,27,Khanmigo,45,0.55,None,11,1,Yes,8
2016,12,Nigeria,Africa,8,10,5,28,Khanmigo,42,0.52,Active,8,0,Yes,10
2016,12,Canada,North America,7,12,9,39,Microsoft Copilot,94,0.92,Draft,9,0,Yes,10
2016,12,Australia,Oceania,9,5,6,37,Google Gemini,96,0.93,Active,11,4,No,2
2017,1,United States,North America,11,10,11,24,ChatGPT,90,0.9,None,16,5,Yes,8
2017,1,United Kingdom,Europe,11,12,10,37,Microsoft Copilot,92,0.91,None,11,0,No,8
2017,1,China,Asia,16,17,15,9,Khanmigo,70,0.75,None,17,3,Yes,6
2017,1,India,Asia,18,13,17,51,Microsoft Copilot,50,0.64,None,20,10,No,8
2017,1,Germany,Europe,15,18,11,11,Microsoft Copilot,93,0.94,None,20,8,Yes,1
2017,1,Brazil,South America,13,11,14,49,Khanmigo,75,0.7,Active,17,3,Yes,10
2017,1,Pakistan,Asia,16,12,17,60,Khanmigo,45,0.55,Draft,21,9,Yes,10
2017,1,Nigeria,Africa,19,11,16,27,ChatGPT,42,0.52,Draft,21,13,Yes,3
2017,1,Canada,North America,16,13,15,49,Microsoft Copilot,94,0.92,Draft,20,2,Yes,5
2017,1,Australia,Oceania,17,14,12,6,Google Gemini,96,0.93,None,20,2,No,2
2017,2,United States,North America,20,17,12,52,ChatGPT,90,0.9,Draft,21,8,No,1
2017,2,United Kingdom,Europe,14,10,10,26,ChatGPT,92,0.91,None,14,3,Yes,1
2017,2,China,Asia,16,14,14,31,Khanmigo,70,0.75,Active,17,7,No,1
2017,2,India,Asia,11,18,12,35,Microsoft Copilot,50,0.64,Draft,11,0,No,9
2017,2,Germany,Europe,17,17,11,46,ChatGPT,93,0.94,Active,20,2,Yes,3
2017,2,Brazil,South America,11,11,14,32,Google Gemini,75,0.7,Draft,14,0,No,5
2017,2,Pakistan,Asia,20,18,10,12,Khanmigo,45,0.55,None,24,6,No,5
2017,2,Nigeria,Africa,16,15,11,27,Microsoft Copilot,42,0.52,Active,17,8,Yes,2
2017,2,Canada,North America,13,16,16,47,ChatGPT,94,0.92,Active,18,0,No,3
2017,2,Australia,Oceania,19,12,14,31,Khanmigo,96,0.93,Active,20,13,Yes,1
2017,3,United States,North America,17,15,10,42,Microsoft Copilot,90,0.9,Active,20,11,Yes,2
2017,3,United Kingdom,Europe,20,11,14,41,Khanmigo,92,0.91,Active,21,8,Yes,3
2017,3,China,Asia,15,18,13,34,ChatGPT,70,0.75,Active,18,0,No,10
2017,3,India,Asia,17,12,16,26,Microsoft Copilot,50,0.64,None,19,3,Yes,5
2017,3,Germany,Europe,14,10,14,39,Khanmigo,93,0.94,None,18,3,No,7
2017,3,Brazil,South America,20,13,11,34,ChatGPT,75,0.7,Draft,24,9,Yes,5
2017,3,Pakistan,Asia,17,17,11,47,ChatGPT,45,0.55,Active,18,5,No,2
2017,3,Nigeria,Africa,11,12,16,37,ChatGPT,42,0.52,Active,15,1,No,10
2017,3,Canada,North America,12,17,13,21,Microsoft Copilot,94,0.92,None,14,0,No,5
2017,3,Australia,Oceania,12,18,12,34,ChatGPT,96,0.93,Draft,17,0,Yes,2
2017,4,United States,North America,20,14,11,36,Khanmigo,90,0.9,Active,20,8,Yes,8
2017,4,United Kingdom,Europe,19,11,13,51,ChatGPT,92,0.91,Draft,20,13,Yes,6
2017,4,China,Asia,12,12,16,33,ChatGPT,70,0.75,None,13,4,No,5
2017,4,India,Asia,19,10,17,56,ChatGPT,50,0.64,Draft,21,8,Yes,10
2017,4,Germany,Europe,13,18,16,8,ChatGPT,93,0.94,Active,18,0,No,7
2017,4,Brazil,South America,18,14,17,60,Khanmigo,75,0.7,None,22,9,Yes,2
2017,4,Pakistan,Asia,13,18,14,19,Google Gemini,45,0.55,None,13,6,Yes,9
2017,4,Nigeria,Africa,10,13,12,20,Google Gemini,42,0.52,None,15,0,No,2
2017,4,Canada,North America,12,16,11,13,ChatGPT,94,0.92,None,15,7,Yes,3
2017,4,Australia,Oceania,14,14,13,32,ChatGPT,96,0.93,Draft,17,1,No,2
2017,5,United States,North America,12,15,14,29,Khanmigo,90,0.9,None,14,0,Yes,2
2017,5,United Kingdom,Europe,19,14,16,11,ChatGPT,92,0.91,None,21,8,Yes,5
2017,5,China,Asia,18,16,15,30,Khanmigo,70,0.75,Draft,23,3,Yes,9
2017,5,India,Asia,19,16,12,32,Microsoft Copilot,50,0.64,Draft,22,14,Yes,1
2017,5,Germany,Europe,18,13,15,7,ChatGPT,93,0.94,None,22,8,No,3
2017,5,Brazil,South America,10,12,10,11,Microsoft Copilot,75,0.7,None,13,1,Yes,5
2017,5,Pakistan,Asia,19,16,14,10,Khanmigo,45,0.55,Active,22,8,Yes,2
2017,5,Nigeria,Africa,13,13,13,45,ChatGPT,42,0.52,Draft,18,3,Yes,6
2017,5,Canada,North America,19,12,17,39,Google Gemini,94,0.92,None,21,13,No,8
2017,5,Australia,Oceania,11,15,15,59,Khanmigo,96,0.93,None,13,0,Yes,5
2017,6,United States,North America,19,12,13,38,Google Gemini,90,0.9,Draft,24,12,Yes,2
2017,6,United Kingdom,Europe,14,10,16,53,Khanmigo,92,0.91,None,18,4,Yes,2
2017,6,China,Asia,11,15,13,11,Microsoft Copilot,70,0.75,Active,11,5,Yes,1
